agent_action,agent_count,gold_action,gold_count,gold_cases,candidate_status,already_accepted,was_previously_reviewed,agent_canonical,gold_canonical,agent_family,gold_family,semantic_overlap,name_similarity,combined_score
Browser.browserPackageOpenAction,4,Browser.launchWebsite,2,12_0338_lettergenerationbot;13_0410_a2019-invoicely-assistant,accepted_rule,True,False,Browser.launchWebsite,Browser.launchWebsite,browser,browser,open,0.1622,1.0
Browser.browserPackageOpenAction,4,Browser.openbrowser,1,04_0176_global-exchange-currency-rate,accepted_rule,True,False,Browser.launchWebsite,Browser.launchWebsite,browser,browser,open,0.4,1.0
Browser.browserPackageOpenAction,4,WebAutomation.openpage,1,03_0131_currency-rate---oanda,accepted_rule,True,False,Browser.launchWebsite,Browser.launchWebsite,browser,browser,open,0.3125,1.0
Datetime.usingSubtractAction,1,Datetime.subtract,6,02_0419_sendbulkemailswithtemplate;03_0131_currency-rate---oanda;05_0393_a2019-twilio-integration;09_0245_merge-multiple-csv-files;12_0338_lettergenerationbot,accepted_rule,True,True,Datetime.usingSubtractAction,Datetime.usingSubtractAction,datetime,datetime,,0.5926,1.0
Dictionary.dictionaryPut,12,Dictionary.put,8,06_0224_extracttablesfrompdftocsv;07_0225_extracttablefromwordtocsv;10_0302_a2019-get-current-exchange-rate,accepted_rule,True,True,Dictionary.dictionaryPut,Dictionary.dictionaryPut,dictionary,dictionary,write,0.375,1.0
Email.cloudUsingSendAction,3,Email.sendMail,2,02_0419_sendbulkemailswithtemplate;12_0338_lettergenerationbot,accepted_rule,True,False,Email.cloudUsingSendAction,Email.cloudUsingSendAction,email,email,send,0.4286,1.0
Excel advanced.cloudExcelOpen,3,Excel.OpenSpreadsheet,2,02_0419_sendbulkemailswithtemplate,accepted_rule,True,True,Excel advanced.cloudExcelOpen,Excel advanced.cloudExcelOpen,excel,excel,open,0.2759,1.0
Excel advanced.cloudExcelOpen,3,Excel_MS.OpenSpreadsheet,5,01_0374_createprojectinjirausingapi;03_0131_currency-rate---oanda;04_0176_global-exchange-currency-rate;11_0167_outlook-email-notifier;13_0410_a2019-invoicely-assistant,accepted_rule,True,False,Excel advanced.cloudExcelOpen,Excel advanced.cloudExcelOpen,excel,excel,open,0.2759,1.0
Excel advanced.excelAdvancedPackageCloseAction,3,Excel_MS.CloseSpreadsheet,3,01_0374_createprojectinjirausingapi;03_0131_currency-rate---oanda;11_0167_outlook-email-notifier,accepted_rule,True,False,Excel advanced.excelAdvancedPackageCloseAction,Excel advanced.excelAdvancedPackageCloseAction,excel,excel,close,0.2979,1.0
Excel advanced.excelAdvancedPackageReadRowAction,1,Excel_MS.readExcelRow,3,11_0167_outlook-email-notifier,accepted_rule,True,False,Excel advanced.excelAdvancedPackageReadRowAction,Excel advanced.excelAdvancedPackageReadRowAction,excel,excel,read,0.3556,1.0
File.filePackageCreateAction,4,File.createFile,9,02_0419_sendbulkemailswithtemplate;03_0131_currency-rate---oanda;04_0176_global-exchange-currency-rate;05_0393_a2019-twilio-integration;09_0245_merge-multiple-csv-files;11_0167_outlook-email-notifier;12_0338_lettergenerationbot,accepted_rule,True,True,File.filePackageCreateAction,File.filePackageCreateAction,file,file,write,0.4242,1.0
File.filePackageCreateAction,4,File.deleteFiles,13,02_0419_sendbulkemailswithtemplate;03_0131_currency-rate---oanda;05_0393_a2019-twilio-integration;09_0245_merge-multiple-csv-files;12_0338_lettergenerationbot,possible_candidate,False,False,File.filePackageCreateAction,File.cloudDeletingFile,file,file,write,0.2353,0.8088
Folder.folderCreate,8,Folder.createFolder,36,02_0419_sendbulkemailswithtemplate;03_0131_currency-rate---oanda;04_0176_global-exchange-currency-rate;05_0393_a2019-twilio-integration;09_0245_merge-multiple-csv-files;10_0302_a2019-get-current-exchange-rate;11_0167_outlook-email-notifier;12_0338_lettergenerationbot;13_0410_a2019-invoicely-assistant,accepted_rule,True,True,Folder.folderCreate,Folder.folderCreate,folder,folder,write,0.5,1.0
Number.numberIncrement,1,Number.increment,2,02_0419_sendbulkemailswithtemplate;04_0176_global-exchange-currency-rate,accepted_rule,True,True,Number.numberIncrement,Number.numberIncrement,number,number,,0.75,1.0
Screen.cloudUsingScreenCaptureWindow,1,Screen.captureDesktop,6,02_0419_sendbulkemailswithtemplate;03_0131_currency-rate---oanda;05_0393_a2019-twilio-integration;09_0245_merge-multiple-csv-files;12_0338_lettergenerationbot,strong_candidate,False,False,Screen.cloudUsingScreenCaptureWindow,Screen.screenCaptureDesktop,screen,screen,read,0.4186,0.8547
String.stringPackageAssignAction,2,String.assign,67,01_0374_createprojectinjirausingapi;02_0419_sendbulkemailswithtemplate;03_0131_currency-rate---oanda;04_0176_global-exchange-currency-rate;05_0393_a2019-twilio-integration;06_0224_extracttablesfrompdftocsv;07_0225_extracttablefromwordtocsv;09_0245_merge-multiple-csv-files;10_0302_a2019-get-current-exchange-rate;11_0167_outlook-email-notifier;12_0338_lettergenerationbot,accepted_rule,True,True,String.stringPackageAssignAction,String.stringPackageAssignAction,string,string,write,0.3871,1.0
