agent_action,agent_count,gold_action,gold_count,gold_cases,candidate_status,already_accepted,agent_canonical,gold_canonical,agent_family,gold_family,semantic_overlap,name_similarity,combined_score
Browser.browserPackageOpenAction,1,Browser.openbrowser,1,04_0176_global-exchange-currency-rate,strong_candidate,False,Browser.browserPackageOpenAction,Browser.launchWebsite,browser,browser,open,0.4,0.85
Browser.browserPackageOpenAction,1,WebAutomation.openpage,1,03_0131_currency-rate---oanda,strong_candidate,False,Browser.browserPackageOpenAction,Browser.launchWebsite,browser,browser,open,0.3125,0.8281
Browser.browserPackageOpenAction,1,Browser.launchWebsite,2,12_0338_lettergenerationbot;13_0410_a2019-invoicely-assistant,possible_candidate,False,Browser.browserPackageOpenAction,Browser.launchWebsite,browser,browser,open,0.1622,0.7905
Excel advanced.cloudExcelOpen,1,Excel.OpenSpreadsheet,2,02_0419_sendbulkemailswithtemplate,accepted_rule,True,Excel advanced.cloudExcelOpen,Excel advanced.cloudExcelOpen,excel,excel,open,0.2759,1.0
Excel advanced.cloudExcelOpen,1,Excel_MS.OpenSpreadsheet,5,01_0374_createprojectinjirausingapi;03_0131_currency-rate---oanda;04_0176_global-exchange-currency-rate;11_0167_outlook-email-notifier;13_0410_a2019-invoicely-assistant,strong_candidate,False,Excel advanced.cloudExcelOpen,Excel_MS.OpenSpreadsheet,excel,excel,open,0.2759,0.819
Excel advanced.excelAdvancedPackageCloseAction,1,Excel_MS.CloseSpreadsheet,3,01_0374_createprojectinjirausingapi;03_0131_currency-rate---oanda;11_0167_outlook-email-notifier,strong_candidate,False,Excel advanced.excelAdvancedPackageCloseAction,Excel_MS.CloseSpreadsheet,excel,excel,close,0.2979,0.8245
Excel advanced.excelAdvancedPackageReadRowAction,1,Excel_MS.readExcelRow,3,11_0167_outlook-email-notifier,strong_candidate,False,Excel advanced.excelAdvancedPackageReadRowAction,Excel_MS.readExcelRow,excel,excel,read,0.3556,0.8389
Excel advanced.excelAdvancedPackageReadRowAction,1,Excel.GetMultipleCells,2,02_0419_sendbulkemailswithtemplate,possible_candidate,False,Excel advanced.excelAdvancedPackageReadRowAction,Excel advanced.excelAdvancedPackageGetMultipleCellsAction,excel,excel,read,0.1633,0.7908
Excel advanced.excelAdvancedPackageReadRowAction,1,Excel_MS.GetMultipleCells,1,01_0374_createprojectinjirausingapi,possible_candidate,False,Excel advanced.excelAdvancedPackageReadRowAction,Excel_MS.GetMultipleCells,excel,excel,read,0.1633,0.7908
Excel advanced.excelAdvancedPackageSetCellAction,1,Excel.SetCell,2,02_0419_sendbulkemailswithtemplate,accepted_rule,True,Excel advanced.excelAdvancedPackageSetCellAction,Excel advanced.excelAdvancedPackageSetCellAction,excel,excel,write,0.35,1.0
Excel advanced.excelAdvancedPackageSetCellAction,1,Excel_MS.SetCell,3,03_0131_currency-rate---oanda;04_0176_global-exchange-currency-rate,strong_candidate,False,Excel advanced.excelAdvancedPackageSetCellAction,Excel_MS.SetCell,excel,excel,write,0.35,0.8375
