case_id,run_id,gold_actions,pred_actions,canonical_seq_f1,canonical_bag_f1,package_family_f1,salient_family_f1,worfbench_edge_f1,worfbench_node_f1,report,note
03_0131_currency-rate---oanda,runner_v1_batch_20260716_13pdfs__01_0131_currency-rate---oanda,45,9,0.0,0.0,0.14814814814814814,0.20689655172413796,0.3461538461538461,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs__01_0131_currency-rate---oanda\03_0131_currency-rate---oanda\evaluation.json,turnAnalyze fallback
08_0137_sendemailusingsmtp-demo,runner_v1_batch_20260716_13pdfs__02_0137_sendemailusingsmtp-demo,3,7,0.0,0.0,0.0,0.0,0.5,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs__02_0137_sendemailusingsmtp-demo\08_0137_sendemailusingsmtp-demo\evaluation.json,
11_0167_outlook-email-notifier,runner_v1_batch_20260716_13pdfs__03_0167_outlook-email-notifier,24,8,0.0,0.0,0.25,0.42857142857142855,0.48484848484848486,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs__03_0167_outlook-email-notifier\11_0167_outlook-email-notifier\evaluation.json,
04_0176_global-exchange-currency-rate,runner_v1_batch_20260716_13pdfs__04_0176_global-exchange-currency-rate,24,9,0.0,0.0,0.18181818181818182,0.13333333333333333,0.5294117647058825,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs__04_0176_global-exchange-currency-rate\04_0176_global-exchange-currency-rate\evaluation.json,
06_0224_extracttablesfrompdftocsv,runner_v1_batch_20260716_13pdfs__05_0224_extracttablesfrompdftocsv,10,5,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs__05_0224_extracttablesfrompdftocsv\06_0224_extracttablesfrompdftocsv\evaluation.json,
07_0225_extracttablefromwordtocsv,runner_v1_batch_20260716_13pdfs__06_0225_extracttablefromwordtocsv,10,6,0.0,0.0,0.0,0.0,0.6666666666666665,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs__06_0225_extracttablefromwordtocsv\07_0225_extracttablefromwordtocsv\evaluation.json,
09_0245_merge-multiple-csv-files,runner_v1_batch_20260716_13pdfs__07_0245_merge-multiple-csv-files,29,4,0.0606060606060606,0.0606060606060606,0.1212121212121212,0.0,0.27586206896551724,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs__07_0245_merge-multiple-csv-files\09_0245_merge-multiple-csv-files\evaluation.json,
10_0302_a2019-get-current-exchange-rate,runner_v1_batch_20260716_13pdfs__08_0302_a2019-get-current-exchange-rate,18,6,0.08333333333333333,0.08333333333333333,0.25,0.14285714285714288,0.5,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs__08_0302_a2019-get-current-exchange-rate\10_0302_a2019-get-current-exchange-rate\evaluation.json,
01_0374_createprojectinjirausingapi,runner_v1_batch_20260716_13pdfs_resume09__02_0374_createprojectinjirausingapi,17,8,0.0,0.0,0.07999999999999999,0.1,0.64,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs_resume09__02_0374_createprojectinjirausingapi\01_0374_createprojectinjirausingapi\evaluation.json,
05_0393_a2019-twilio-integration,runner_v1_batch_20260716_13pdfs_resume09__03_0393_a2019-twilio-integration,47,7,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.0,0.28571428571428575,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs_resume09__03_0393_a2019-twilio-integration\05_0393_a2019-twilio-integration\evaluation.json,
13_0410_a2019-invoicely-assistant,runner_v1_batch_20260716_13pdfs_resume09__04_0410_a2019-invoicely-assistant,31,8,0.0,0.0,0.15384615384615383,0.06060606060606061,0.42105263157894735,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs_resume09__04_0410_a2019-invoicely-assistant\13_0410_a2019-invoicely-assistant\evaluation.json,
02_0419_sendbulkemailswithtemplate,runner_v1_batch_20260716_13pdfs_resume09__05_0419_sendbulkemailswithtemplate,55,13,0.0,0.0,0.0588235294117647,0.09523809523809525,0.4126984126984127,0.0,scripts\goldset\evaluation\reports\runner_v1_batch_20260716_13pdfs_resume09__05_0419_sendbulkemailswithtemplate\02_0419_sendbulkemailswithtemplate\evaluation.json,
